Zip,Price,Area,Room,PriceSqm
1091 CR,685000.0,64,3,10703.125
1059 EL,475000.0,60,3,7916.666666666667
1097 SM,850000.0,109,4,7798.165137614679
1060 TH,580000.0,128,6,4531.25
1036 KN,720000.0,138,5,5217.391304347826
1051 AM,450000.0,53,2,8490.566037735849
1033 KM,450000.0,87,3,5172.413793103448
1053 WL,590000.0,80,2,7375.0
1058 DG,399000.0,49,3,8142.857142857143
1073 TM,300000.0,33,2,9090.90909090909
1058 HN,540000.0,69,3,7826.086956521739
1019 LD,539000.0,88,3,6125.0
1091 CK,390000.0,45,3,8666.666666666666
1017 AD,575000.0,70,2,8214.285714285714
1091 CT,650000.0,86,3,7558.139534883721
1036 KE,475000.0,105,5,4523.809523809524
1058 VP,700000.0,102,6,6862.745098039216
1064 CP,325000.0,78,3,4166.666666666667
1102 SX,399000.0,100,3,3990.0
1013 WJ,375000.0,52,3,7211.538461538462
1016 DP,1625000.0,199,6,8165.829145728643
1072 JK,575000.0,71,3,8098.591549295775
1062 BS,600000.0,114,4,5263.1578947368425
1095 JX,525000.0,75,3,7000.0
1034 LH,350000.0,110,5,3181.818181818182
1035 HG,350000.0,89,3,3932.5842696629215
1083 GP,575000.0,134,5,4291.044776119403
1056 JJ,375000.0,51,3,7352.941176470588
1065 BG,1650000.0,235,7,7021.276595744681
1072 HN,325000.0,37,2,8783.783783783783
1078 DE,800000.0,98,3,8163.265306122449
1013 EC,1950000.0,258,4,7558.139534883721
1076 JP,735000.0,83,3,8855.421686746988
1054 GJ,3925000.0,319,7,12304.075235109718
1053 DS,475000.0,74,3,6418.918918918919
1083 TL,275000.0,31,2,8870.967741935483
1073 GJ,375000.0,47,2,7978.723404255319
1054 TL,570000.0,63,3,9047.619047619048
1018 NB,375000.0,43,2,8720.93023255814
1019 JX,895000.0,163,6,5490.79754601227
1056 TD,365000.0,49,3,7448.9795918367345
1053 XP,550000.0,62,3,8870.967741935483
1106 DM,325000.0,91,4,3571.4285714285716
1018 VS,429000.0,50,3,8580.0
1093 TE,650000.0,120,4,5416.666666666667
1056 NZ,350000.0,55,3,6363.636363636364
1095 BN,475000.0,79,3,6012.658227848101
1104 VA,325000.0,99,3,3282.8282828282827
1064 WX,425000.0,82,3,5182.926829268293
1024 BG,350000.0,77,4,4545.454545454545
1062 JS,350000.0,81,3,4320.9876543209875
1068 JC,375000.0,93,4,4032.2580645161293
1013 DR,450000.0,73,3,6164.3835616438355
1017 HH,1185000.0,160,5,7406.25
1034 BM,385000.0,74,3,5202.7027027027025
1075 XR,687500.0,86,4,7994.186046511628
1035 PE,585000.0,52,4,11250.0
1011 PT,1295000.0,145,5,8931.034482758621
1055 GW,375000.0,61,3,6147.540983606557
1095 AN,500000.0,86,4,5813.953488372093
1024 VE,300000.0,78,4,3846.153846153846
1056 XJ,375000.0,52,4,7211.538461538462
1058 XZ,400000.0,51,2,7843.137254901961
1078 EZ,850000.0,117,5,7264.957264957265
1054 KJ,550000.0,72,3,7638.888888888889
1024 HM,275000.0,56,2,4910.714285714285
1055 KE,330000.0,54,3,6111.111111111111
1095 MD,700000.0,102,3,6862.745098039216
1097 NR,500000.0,72,2,6944.444444444444
1094 EB,369000.0,47,3,7851.063829787234
1107 PW,245000.0,68,3,3602.9411764705883
1033 HR,350000.0,65,4,5384.615384615385
1055 GG,425000.0,69,3,6159.420289855072
1017 VV,,147,3,
1067 JG,375000.0,94,4,3989.3617021276596
1025 HE,335000.0,92,4,3641.304347826087
1072 KA,450000.0,56,3,8035.714285714285
1107 DK,395000.0,101,5,3910.891089108911
1052 TR,300000.0,45,2,6666.666666666667
1095 RZ,450000.0,84,3,5357.142857142857
1057 RX,415000.0,51,2,8137.254901960784
1017 VX,650000.0,67,4,9701.492537313432
1013 XT,425000.0,52,2,8173.076923076923
1015 GL,469000.0,67,2,7000.0
1018 KP,485000.0,73,4,6643.835616438356
1055 RD,225000.0,32,1,7031.25
1052 AA,285000.0,29,2,9827.586206896553
1016 EH,995000.0,97,2,10257.731958762886
1018 AW,1475000.0,220,5,6704.545454545455
1053 VC,475000.0,60,3,7916.666666666667
1061 SR,475000.0,124,5,3830.6451612903224
1059 BH,395000.0,56,2,7053.571428571428
1012 ET,375000.0,47,2,7978.723404255319
1075 XR,400000.0,37,2,10810.81081081081
1013 RP,325000.0,42,2,7738.0952380952385
1076 RA,400000.0,53,3,7547.169811320755
1077 DE,475000.0,80,3,5937.5
1098 TK,425000.0,68,3,6250.0
1063 KS,375000.0,101,3,3712.871287128713
1051 EA,365000.0,47,2,7765.95744680851
1092 EW,500000.0,67,3,7462.686567164179
1062 KC,450000.0,92,3,4891.304347826087
1015 DT,725000.0,95,3,7631.578947368421
1017 ZP,4550000.0,497,13,9154.929577464789
1103 LN,225000.0,52,2,4326.923076923077
1056 WR,375000.0,55,3,6818.181818181818
1051 NX,495000.0,74,3,6689.189189189189
1017 NH,475000.0,58,3,8189.6551724137935
1017 NL,450000.0,53,2,8490.566037735849
1078 PJ,475000.0,66,3,7196.969696969697
1058 NM,475000.0,62,3,7661.290322580645
1068 SM,345000.0,61,3,5655.737704918033
1062 ER,369000.0,78,3,4730.7692307692305
1107 LD,320000.0,91,4,3516.4835164835163
1021 CW,465000.0,66,3,7045.454545454545
1012 EL,340000.0,35,2,9714.285714285714
1106 HH,375000.0,111,5,3378.3783783783783
1091 CL,595000.0,93,3,6397.8494623655915
1019 GD,525000.0,92,3,5706.521739130435
1069 EC,245000.0,61,3,4016.3934426229507
1024 AS,275000.0,85,4,3235.294117647059
1018 AK,575000.0,72,2,7986.111111111111
1107 RA,250000.0,70,3,3571.4285714285716
1019 AX,975000.0,165,5,5909.090909090909
1052 KB,375000.0,52,2,7211.538461538462
1096 GG,1100000.0,159,5,6918.238993710692
1013 BD,750000.0,102,3,7352.941176470588
1011 TE,439000.0,55,3,7981.818181818182
1091 PW,375000.0,57,2,6578.9473684210525
1011 MP,445000.0,66,3,6742.424242424242
1024 TR,325000.0,77,4,4220.779220779221
1056 KM,415000.0,57,2,7280.701754385965
1053 PA,300000.0,43,2,6976.7441860465115
1015 DC,915000.0,88,5,10397.727272727272
1060 NM,685000.0,183,6,3743.1693989071036
1057 PZ,350000.0,50,3,7000.0
1077 KB,1025000.0,135,4,7592.592592592592
1018 ZW,895000.0,177,4,5056.497175141243
1058 EM,350000.0,59,2,5932.203389830508
1063 LW,265000.0,65,3,4076.923076923077
1066 TM,500000.0,100,4,5000.0
1107 EX,295000.0,106,4,2783.0188679245284
1077 MR,1175000.0,159,7,7389.937106918239
1016 BE,995000.0,113,3,8805.309734513274
1072 RW,385000.0,54,2,7129.62962962963
1053 RV,550000.0,89,4,6179.775280898876
1053 GD,325000.0,40,2,8125.0
1102 HB,225000.0,62,2,3629.032258064516
1083 AT,395000.0,66,3,5984.848484848485
1067 VR,425000.0,102,4,4166.666666666667
1016 XA,525000.0,64,4,8203.125
1065 LH,800000.0,132,6,6060.606060606061
1068 EK,400000.0,88,4,4545.454545454545
1024 HL,250000.0,50,2,5000.0
1051 CW,360000.0,41,2,8780.487804878048
1095 MD,1050000.0,154,4,6818.181818181818
1024 ML,799000.0,230,8,3473.913043478261
1017 WG,1700000.0,194,6,8762.886597938144
1082 BG,825000.0,178,7,4634.831460674157
1063 TZ,290000.0,50,2,5800.0
1015 AA,469000.0,50,3,9380.0
1017 AG,625000.0,74,3,8445.945945945947
1018 XH,1050000.0,149,8,7046.979865771812
1033 VK,540000.0,79,4,6835.443037974684
1104 TT,285000.0,96,4,2968.75
1087 VS,859000.0,168,3,5113.0952380952385
1025 HW,275000.0,63,2,4365.079365079365
1060 PR,525000.0,153,6,3431.372549019608
1065 EX,375000.0,73,4,5136.986301369863
1068 CK,399500.0,89,2,4488.76404494382
